1	1	1	0	2	75	3	27	4	8	5	50	6	13	7	42	8	97	9	9	10	78	11	92
2	2	1	75	2	0	3	67	4	9	5	66	6	11	7	34	8	3	9	86	10	59	11	2
3	3	1	99	2	61	3	0	4	78	5	17	6	94	7	29	8	87	9	60	10	75	11	78
4	4	1	71	2	52	3	23	4	0	5	103	6	10	7	48	8	11	9	73	10	72	11	22
5	5	1	56	2	93	3	33	4	78	5	0	6	31	7	107	8	27	9	38	10	12	11	57
6	6	1	8	2	49	3	70	4	33	5	9	6	0	7	43	8	89	9	49	10	28	11	89
7	7	1	78	2	83	3	21	4	52	5	93	6	31	7	0	8	62	9	73	10	63	11	13
8	8	1	36	2	41	3	33	4	66	5	39	6	24	7	79	8	0	9	69	10	67	11	43
9	9	1	26	2	39	3	89	4	95	5	10	6	73	7	86	8	98	9	0	10	99	11	51
10	10	1	37	2	7	3	79	4	55	5	1	6	82	7	67	8	13	9	10	10	0	11	18
11	11	1	98	2	16	3	106	4	44	5	40	6	63	7	70	8	69	9	91	10	95	11	0
