1	1	1	0	2	23	3	59	4	10	5	9	6	56	7	40	8	53	9	75	10	80
2	2	1	74	2	0	3	92	4	54	5	67	6	36	7	5	8	82	9	81	10	31
3	3	1	79	2	71	3	0	4	81	5	94	6	26	7	54	8	31	9	9	10	58
4	4	1	38	2	76	3	8	4	0	5	104	6	36	7	36	8	56	9	27	10	86
5	5	1	65	2	86	3	0	4	19	5	0	6	94	7	56	8	28	9	44	10	72
6	6	1	24	2	85	3	45	4	77	5	60	6	0	7	94	8	53	9	53	10	26
7	7	1	16	2	62	3	98	4	11	5	52	6	32	7	0	8	51	9	25	10	39
8	8	1	64	2	87	3	46	4	8	5	67	6	71	7	62	8	0	9	22	10	74
9	9	1	67	2	43	3	56	4	22	5	83	6	24	7	19	8	96	9	0	10	17
10	10	1	6	2	58	3	102	4	97	5	61	6	33	7	15	8	37	9	28	10	0
