1	1	1	0	2	78	3	30	4	61	5	15	6	49	7	82	8	51	9	82	10	25	11	55	12	19
2	2	1	78	2	0	3	83	4	82	5	8	6	30	7	31	8	83	9	26	10	47	11	10	12	79
3	3	1	57	2	81	3	0	4	76	5	63	6	33	7	101	8	26	9	74	10	90	11	66	12	25
4	4	1	59	2	15	3	75	4	0	5	80	6	97	7	108	8	80	9	82	10	72	11	46	12	94
5	5	1	34	2	79	3	103	4	73	5	0	6	68	7	70	8	101	9	97	10	52	11	77	12	91
6	6	1	93	2	77	3	45	4	85	5	6	6	0	7	29	8	36	9	18	10	39	11	6	12	32
7	7	1	106	2	75	3	81	4	91	5	9	6	42	7	0	8	19	9	80	10	75	11	74	12	40
8	8	1	10	2	77	3	79	4	62	5	32	6	62	7	48	8	0	9	103	10	75	11	44	12	25
9	9	1	58	2	55	3	56	4	32	5	87	6	8	7	30	8	20	9	0	10	101	11	48	12	71
10	10	1	16	2	36	3	81	4	88	5	100	6	83	7	46	8	55	9	75	10	0	11	10	12	78
11	11	1	54	2	43	3	51	4	53	5	103	6	40	7	10	8	4	9	9	10	78	11	0	12	75
12	12	1	10	2	21	3	94	4	63	5	90	6	72	7	89	8	108	9	20	10	33	11	83	12	0
